id,sex,ethgroup,age,m_non,f_non,m_self,f_self,grpsize,group,mascpref,obro,osis,ybro,ysis,birthorder
t006,male,west_asian,19,2.5,1.5,3,1,5,11,1.954545455,0,0,0,1,firstborn
t010,male,west_asian,19,3.75,2.5,5,5,5,11,2.045454545,0,1,0,0,lastborn
t017,male,white,19,2.3333333,3.5,6,6,7,13,2.909090909,0,2,0,2,middleborn
t018,male,white,18,3.6666667,4.3333333,5,4,2,12,2.090909091,0,0,1,0,firstborn
t030,male,white,19,1,0.3333333,3,4,7,13,2.409090909,0,1,0,0,lastborn
t031,male,white,18,4,4.8333333,3,4,7,13,2.5,0,0,1,0,firstborn
t036,male,west_asian,18,3.5,4.25,4,5,5,11,1.909090909,1,0,0,0,lastborn
t039,male,white,19,2.8333333,1.8333333,4,1,7,13,2.090909091,0,0,0,1,firstborn
t047,male,white,18,4.6666667,3.6666667,3,3,7,13,2.954545455,0,1,1,0,middleborn
t051,male,white,18,1.5,2.5,5,2,7,13,2.727272727,0,0,1,1,firstborn
t052,male,west_asian,18,3,3.5,3,2,5,11,3.090909091,1,0,0,0,lastborn
t054,male,white,19,4.3333333,4.3333333,3,2,2,12,3.045454545,1,0,0,1,middleborn
t055,male,west_asian,21,2.75,3.75,4,5,5,11,2,1,0,0,0,lastborn
t072,male,white,18,3.5,3.5,4,6,7,13,3.045454545,0,0,0,1,firstborn
t074,male,west_asian,19,2.2,1.6,1,3,6,14,2.090909091,0,1,0,0,lastborn
t075,male,west_asian,18,2.4,4,4,6,6,14,2.954545455,0,2,0,1,middleborn
t076,male,white,19,2.8333333,1.5,4,1,7,15,2.681818182,1,2,1,1,middleborn
t077,male,white,21,2.1666667,2.8333333,6,5,7,15,2,1,0,0,0,lastborn
t078,male,white,18,1.6666667,1,3,4,7,15,2.181818182,0,0,1,1,firstborn
t079,male,white,19,3.6666667,4.3333333,2,1,7,15,2.727272727,2,0,0,0,lastborn
t080,male,east_asian,20,2,3.5,5,4,3,10,3.181818182,0,0,0,2,firstborn
t081,male,white,19,3.1666667,4.1666667,4,3,7,15,3.227272727,0,0,0,1,firstborn
t082,male,west_asian,20,4,3,3,1,6,14,3.5,0,0,2,0,firstborn
t083,male,west_asian,18,3.8,4.2,2,2,6,14,3,0,0,1,0,firstborn
t084,male,white,17,3.6666667,3.8333333,3,6,7,15,2.772727273,1,1,0,0,lastborn
t085,male,east_asian,29,2.5,2,3,4,3,10,3.954545455,0,1,2,0,middleborn
t086,male,west_asian,17,1.8,1.6,3,4,6,14,2.727272727,0,0,1,0,firstborn
t087,male,east_asian,20,2.5,1.5,2,4,3,10,2.818181818,1,0,1,0,middleborn
t088,male,white,22,3,3.3333333,4,1,7,15,2.272727273,0,0,0,1,firstborn
t089,male,white,19,6,5,6,4,2,16,2.818181818,1,0,0,0,lastborn
t090,male,west_asian,18,3.6,4,4,3,6,14,2.227272727,0,0,2,1,firstborn
t091,male,white,19,0,4,5,3,2,16,2.318181818,3,2,0,0,lastborn
t092,male,east_asian,22,3.1666667,3.5,2,2,7,17,3.136363636,0,1,0,0,lastborn
t093,male,white,19,2.6666667,3.8333333,3,3,7,18,2.863636364,0,0,1,1,firstborn
t095,male,east_asian,21,3.5,2.5,3,4,7,17,3.227272727,0,0,0,0,only
t096,male,white,19,1.8333333,0.3333333,6,1,7,18,3.045454545,0,0,1,0,firstborn
t097,male,east_asian,19,2.8333333,0.5,2,2,7,17,2.909090909,0,0,0,0,only
t098,male,east_asian,19,3.8333333,4.3333333,2,5,7,17,1.909090909,1,0,0,0,lastborn
t099,male,east_asian,23,2.6666667,2.3333333,1,2,7,17,2.954545455,0,0,1,0,firstborn
t100,male,east_asian,21,2.8333333,3.8333333,3,2,7,17,2.454545455,0,0,0,0,only
t101,male,east_asian,20,3,3.8333333,3,5,7,17,2.272727273,0,1,1,1,middleborn
t102,male,white,19,3.3333333,4.6666667,6,5,7,18,2.545454545,1,0,0,0,lastborn
t103,male,east_asian,19,2,0.6666667,6,1,4,20,2.954545455,0,0,0,0,only
t104,male,east_asian,19,2.6666667,5,4,4,4,20,2.954545455,0,0,0,1,firstborn
t105,male,east_asian,20,4,5,5,4,4,20,2.727272727,0,0,0,2,firstborn
t106,male,white,19,2.3333333,1,3,0,7,18,2.954545455,1,0,1,0,middleborn
t107,male,white,19,3.8333333,4,4,2,7,18,2.454545455,1,0,0,1,middleborn
t108,male,west_asian,22,1,2,5,4,3,19,2.590909091,1,0,0,0,lastborn
t109,male,white,20,3.5,3.3333333,3,5,7,18,2.272727273,2,0,0,0,lastborn
t110,male,white,19,2,3.6666667,5,6,7,18,2.227272727,1,0,1,0,middleborn
t111,male,west_asian,18,2,3.5,3,2,3,19,2.727272727,0,0,0,1,firstborn
t112,male,west_asian,19,2,2,6,2,3,19,2.5,1,0,0,0,lastborn
t113,male,east_asian,20,2.3333333,2.6666667,2,1,4,20,3,3,2,3,2,middleborn
t001,female,white,19,4.1666667,3.5,5,5,7,1,2.5,0,0,0,1,firstborn
t002,female,west_asian,19,0.8333333,0.3333333,1,2,7,2,3.954545455,0,3,1,0,middleborn
t003,female,white,18,3.6666667,3.8333333,5,5,7,1,2.409090909,1,0,0,0,lastborn
t005,female,white,26,2.5,1,5,6,7,1,2.272727273,0,0,0,0,only
t007,female,east_asian,18,4.5,3.6666667,2,2,7,3,2.772727273,1,0,0,0,lastborn
t008,female,white,20,2,1.6666667,1,2,7,1,2.272727273,0,0,1,1,firstborn
t009,female,white,18,1.6666667,4.3333333,4,6,7,1,3.318181818,0,2,0,0,lastborn
t011,female,white,19,2.3333333,3.1666667,4,3,7,1,3.590909091,0,0,1,1,firstborn
t012,female,east_asian,21,2.5,1.6666667,3,5,7,3,2.772727273,1,0,0,0,lastborn
t013,female,white,18,1.3333333,2.3333333,5,6,7,4,1.863636364,0,0,1,0,firstborn
t014,female,white,19,1.6666667,4,6,6,4,9,1.909090909,0,0,1,1,firstborn
t015,female,east_asian,19,4.6666667,3.3333333,5,5,7,3,3.681818182,0,1,0,0,lastborn
t016,female,white,21,3.3333333,2,5,3,7,1,2.181818182,2,0,1,0,middleborn
t019,female,white,20,1.8333333,1.3333333,5,4,7,4,3.318181818,1,0,0,0,lastborn
t020,female,white,19,1.6666667,1.3333333,0,1,7,6,2.727272727,1,1,0,1,middleborn
t021,female,white,19,4.5,4.3333333,4,5,7,4,2.363636364,0,1,0,0,lastborn
t022,female,white,19,1.6666667,2,1,3,4,9,2.090909091,0,0,1,2,firstborn
t023,female,white,19,1.3333333,2.3333333,2,5,7,4,3.318181818,0,1,0,0,lastborn
t024,female,white,18,4.1666667,3,5,3,7,4,1.818181818,0,0,0,2,firstborn
t025,female,white,18,3.8333333,2.5,2,2,7,4,2.772727273,0,0,1,1,firstborn
t026,female,white,18,3.1666667,3.6666667,3,5,7,4,2.227272727,0,3,0,1,middleborn
t027,female,east_asian,19,2.6666667,2.5,2,5,7,3,2.863636364,0,1,0,0,lastborn
t028,female,east_asian,20,3.1666667,3.6666667,2,6,7,3,3.545454545,0,0,0,0,only
t032,female,east_asian,20,2.8333333,2.5,2,3,7,5,2.727272727,0,0,1,1,firstborn
t033,female,west_asian,18,1.3333333,2,3,3,7,2,3.409090909,0,0,1,1,firstborn
t034,female,east_asian,19,1.6,0.8,5,4,2,8,2.909090909,1,0,2,0,middleborn
t035,female,white,19,3.5,3.1666667,4,2,7,7,2.5,0,0,1,1,firstborn
t037,female,west_asian,18,4.3333333,3.6666667,5,4,7,2,2.409090909,0,0,0,0,only
t040,female,white,18,3.1666667,2.1666667,3,2,7,7,2.636363636,0,0,1,0,firstborn
t041,female,white,17,4.3333333,2.8333333,3,5,7,7,1.863636364,0,1,1,0,middleborn
t042,female,white,18,2.3333333,2,1,0,7,7,1.909090909,0,2,0,0,lastborn
